Reporting Date,New Cases,Weekly Capacity,Cases Reviewed,Cases Completed,New Dependencies,Open Backlog,Dependency Backlog,Total Backlog
2025-02-21,195,0,0,0,0,195,0,195
2025-02-28,0,120,120,118,2,75,2,77
2025-03-07,0,0,0,2,0,75,0,75
2025-03-14,0,60,60,58,2,15,2,17
2025-03-21,139,60,60,61,1,94,1,95
2025-03-28,0,180,94,94,1,0,1,1
2025-04-04,0,0,0,1,0,0,0,0
2025-04-11,0,120,0,0,0,0,0,0
2025-04-18,133,60,60,59,1,73,1,74
2025-04-25,0,0,0,1,0,73,0,73
2025-05-02,0,0,0,0,0,73,0,73
2025-05-09,0,0,0,0,0,73,0,73
2025-05-16,177,60,60,60,0,190,0,190
2025-05-23,0,120,120,119,1,70,1,71
2025-05-30,0,0,0,1,0,70,0,70
2025-06-06,0,60,60,59,1,10,1,11
2025-06-13,0,0,0,1,0,10,0,10
2025-06-20,160,0,0,0,0,170,0,170
2025-06-27,0,60,60,59,1,110,1,111
2025-07-04,0,60,60,58,3,50,3,53
2025-07-11,0,0,0,3,0,50,0,50
2025-07-18,170,60,60,60,0,160,0,160
2025-07-25,0,0,0,0,0,160,0,160
2025-08-01,0,0,0,0,0,160,0,160
2025-08-08,0,0,0,0,0,160,0,160
2025-08-15,179,60,60,60,0,279,0,279
2025-08-22,0,0,0,0,0,279,0,279
2025-08-29,0,0,0,0,0,279,0,279
2025-09-05,0,120,120,120,0,159,0,159
2025-09-12,0,0,0,0,0,159,0,159
2025-09-19,142,120,120,118,2,181,2,183
2025-09-26,0,0,0,2,0,181,0,181
2025-10-03,0,60,60,59,1,121,1,122
2025-10-10,0,60,60,60,1,61,1,62
2025-10-17,161,0,0,1,0,222,0,222
2025-10-24,0,60,60,59,1,162,1,163
2025-10-31,0,0,0,1,0,162,0,162
2025-11-07,0,0,0,0,0,162,0,162
2025-11-14,0,120,120,120,0,42,0,42
2025-11-21,145,0,0,0,0,187,0,187
2025-11-28,0,60,60,58,2,127,2,129
2025-12-05,0,0,0,2,0,127,0,127
2025-12-12,0,0,0,0,0,127,0,127
2025-12-19,134,0,0,0,0,261,0,261
2025-12-26,0,0,0,0,0,261,0,261
2026-01-02,0,60,60,58,2,201,2,203
2026-01-09,0,180,180,181,1,21,1,22
2026-01-16,175,0,0,1,0,196,0,196
2026-01-23,0,0,0,0,0,196,0,196
2026-01-30,0,60,60,59,1,136,1,137
2026-02-06,0,0,0,1,0,136,0,136
2026-02-13,0,0,0,0,0,136,0,136
2026-02-20,191,60,60,59,1,267,1,268
2026-02-27,0,120,120,119,2,147,2,149
2026-03-06,0,0,0,2,0,147,0,147
2026-03-13,0,0,0,0,0,147,0,147
2026-03-20,179,60,60,60,0,266,0,266
2026-03-27,0,60,60,60,0,206,0,206
2026-04-03,0,60,60,60,0,146,0,146
2026-04-10,0,0,0,0,0,146,0,146
2026-04-17,133,0,0,0,0,279,0,279
2026-04-24,0,60,60,58,2,219,2,221
2026-05-01,0,60,60,62,0,159,0,159
2026-05-08,0,0,0,0,0,159,0,159
2026-05-15,144,60,60,57,3,243,3,246
2026-05-22,0,0,0,3,0,243,0,243
2026-05-29,0,0,0,0,0,243,0,243
2026-06-05,0,0,0,0,0,243,0,243
2026-06-12,0,60,60,60,0,183,0,183
2026-06-19,171,0,0,0,0,354,0,354
2026-06-26,0,60,60,59,1,294,1,295
2026-07-03,0,0,0,1,0,294,0,294
2026-07-10,0,120,120,119,1,174,1,175
2026-07-17,143,0,0,1,0,317,0,317
2026-07-24,0,60,60,60,0,257,0,257
2026-07-31,0,0,0,0,0,257,0,257
2026-08-07,0,0,0,0,0,257,0,257
2026-08-14,0,60,60,60,0,197,0,197
2026-08-21,0,0,0,0,0,197,0,197
2026-08-28,0,60,60,59,1,137,1,138
2026-09-04,0,60,60,60,1,77,1,78
2026-09-11,0,0,0,1,0,77,0,77
2026-09-18,0,60,60,60,0,17,0,17
2026-09-25,0,0,0,0,0,17,0,17
2026-10-02,0,0,0,0,0,17,0,17
2026-10-09,0,180,17,17,0,0,0,0
